,Film,Year,IMDB,Metascore,IMDB votes
3117,К звёздам,2019,6.7,80,133879
3118,1917,2019,8.5,78,112275
3119,Солнцестояние,2019,7.2,72,107630
3120,Ford против Ferrari,2019,8.2,81,103536
3121,Рокетмен,2019,7.4,69,92368
3122,Тройная граница,2019,6.5,61,89826
3123,Как приручить дракона 3,2019,7.5,71,85492
3124,Мстители: Финал,2019,8.5,78,655425
3125,Капитан Марвел,2019,6.9,64,391473
3126,Однажды в... Голливуде,2019,7.8,83,355877
3127,Человек-паук: Вдали от дома,2019,7.6,69,258636
3128,Джон Уик 3,2019,7.5,73,218646
3129,Ирландец,2019,8.0,94,218351
3130,Шазам!,2019,7.1,71,210868
3131,Мы,2019,6.9,81,179290
3132,Паразиты,2019,8.6,96,175563
3133,История игрушек 4,2019,7.9,84,148967
3134,El Camino: Во все тяжкие,2019,7.4,72,147442
3135,Брачная история,2019,8.1,93,144527
3136,Достать ножи,2019,8.0,82,134748
3137,К звёздам,2019,6.7,80,133879
3138,1917,2019,8.5,78,112275
3139,Солнцестояние,2019,7.2,72,107630
3140,Ford против Ferrari,2019,8.2,81,103536
3141,Рокетмен,2019,7.4,69,92368
3142,Тройная граница,2019,6.5,61,89826
3143,Как приручить дракона 3,2019,7.5,71,85492
